stars,text
5,"My wife took me here on my birthday for breakfast and it was excellent  The weather was perfect which made sitting outside overlooking their grounds an absolute pleasure  Our waitress was excellent and our food arrived quickly on the semibusy Saturday morning  It looked like the place fills up pretty quickly so the earlier you get here the better

Do yourself a favor and get their Bloody Mary  It was phenomenal and simply the best Ive ever had  Im pretty sure they only use ingredients from their garden and blend them fresh when you order it  It was amazing

While EVERYTHING on the menu looks excellent I had the white truffle scrambled eggs vegetable skillet and it was tasty and delicious  It came with 2 pieces of their griddled bread with was amazing and it absolutely made the meal complete  It was the best toast Ive ever had

Anyway I cant wait to go back"
5,"I have no idea why some people give bad reviews about this place It goes to show you you can please everyone They are probably griping about something that their own faultthere are many people like that

In any case my friend and I arrived at about 550 PM this past Sunday It was pretty crowded more than I thought for a Sunday evening and thought we would have to wait forever to get a seat but they said well be seated when the girl comes back from seating someone else We were seated at 552 and the waiter came and got our drink orders Everyone was very pleasant from the host that seated us to the waiter to the server The prices were very good as well We placed our orders once we decided what we wanted at 602 We shared the baked spaghetti calzone and the small Heres The Beef pizza so we can both try them The calzone was huge and we got the smallest one personal and got the small 11 pizza Both were awesome My friend liked the pizza better and I liked the calzone better The calzone does have a sweetish sauce but thats how I like my sauce

We had to box part of the pizza to take it home and we were out the door by 642 So everything was great and not like these bad reviewers That goes to show you that  you have to try these things yourself because all these bad reviewers have some serious issues"
5,"Rosie Dakota and I LOVE Chaparral Dog Park Its very convenient and surrounded by a lot of paths a desert xeriscape baseball fields ballparks and a lake with ducks

The Scottsdale Park and Rec Dept does a wonderful job of keeping the park clean and shaded  You can find trash cans and poopypick up mitts located all over the park and paths

The fenced in area is huge to let the dogs run play and sniff"
5,"General Manager Scott Petello is a good egg Not to go into detail but let me assure you if you have any issues albeit rare speak with Scott and treat the guy with some respect as you state your case and Id be surprised if you dont walk out totally satisfied as I just did Like I always say Mistakes are inevitable its how we recover from them that is important

Thanks to Scott and his awesome staff Youve got a customer for life  "
5,"Drop what youre doing and drive here After I ate here I had to go back the next day for more  The food is that good

This cute little green building may have gone competely unoticed if I hadnt been driving down Palm Rd to avoid construction  While waiting to turn onto 16th Street the Grand Opening sign caught my eye and my little yelping soul leaped for joy  A new place to try

It looked desolate from the outside but when I opened the door I was put at easy by the decor smell and cleanliness inside  I ordered dinner for two to go  The menu was awesome  I loved seeing all the variety poblano peppers mole mahi mahi mushroomssomething wrapped in banana leaves  It made it difficult to choose something  Heres what Ive had so far La Condesa Shrimp Burro and Baja Sur Dogfish Shark Taco  They are both were very delicious meals but the shrimp burro stole the show  So much flavor  I snagged some bites from my hubbys mole and mahi mahi burros mmmm such a delight  The salsa bar is endless  I really stocked up  I was excited to try the strawberry salsa but it was too hot in fact it all was but Im a big wimp when it comes to hot peppers The horchata is handmade and delicious  They throw pecans and some fruit in there too which is a yummy bonus

As if the good food wasnt enough to win me over the art in this restaurant sho did  Im a sucker for Mexican folk art and Frida Kahlo is my Oprah  Theres a painting of her and Diego hanging over the salsa bar its amazing  All the paintings are great love the artist"
5,Nobuo shows his unique talents with everything on the menu Carefully crafted features with much to drink Start with the pork belly buns and a stout Then go on until you can no longer
5,"The oldish man who owns the store is as sweet as can be  Perhaps sweeter than the cookies or ice cream

Heres the lowdown Giant ice cream cookie sandwiches for super cheap  The flavor permutations are basically endless  I had snickerdoodle with cookies and cream ice cream  It was marvelous"
5,Wonderful Vietnamese sandwich shoppe Their baguettes are great hot out of the oven with butter or in one of their many sandwich choices They have a modest selection of baked goods along with some of the best egg rolls around Bring cash or your ATM card as no credit cards are accepted but they have an ATM on premises
5,"They have a limited time thing going on right now with BBQ chicken pizza not sure how long its going to last but let me just say it was amazing  Probably THE best BBQ Chicken pizza I have ever had  I have tried other things too like the tomato basil soup and many of their sandwiches  very good very fresh  every time  

The 5 stars is for the pizza but if I were to rate Jasons Deli over all they would get about a 4"
5,okay this is the best place EVER i grew up shopping at the one in los gatos and the one in Oakville i was shock when i saw the best store in the world in Scottsdale and then not surprised at all the have all the good stuff from cheese down to wine i cant tell you how happy i am that this store is here in Arizona now if we could just get dean and deluca
5,This place shouldnt even be reviewed  because it is the kind of place I want to keep for myself  
5,first time my friend and I went there it was delicious  The food garlic knots our favorite and of course the wine  We will be going back ALOT
1,U can go there n check the car out If u wanna buy 1 there Thats wrong move If u even want a car service from there U made a biggest mistake of ur life I had 1 time asked my girlfriend to take my car there for an oil service guess what They ripped my girlfriend off by lying how bad my car is now If without fixing the problem Might bring some serious accident Then she did what they said 4 brand new tires timing belt 4 new brake pads U know whys the worst All of those above I had just changed 2 months before What a trashy dealer is that People better off go somewhere
5,"I love this place I have been coming here for ages
My favorites Elsas Chicken sandwich any of their burgers dragon chicken wings chinas little chicken sandwich and the hot pepper chicken sandwich The atmosphere is always fun and the art they display is very abstract but totally cool"
5,"I love love LOVE this place My boss who is into healthy eating recommended this place I went over with some highly skeptical friends and one dinner was enough to convert them into believers The food here is so good We had the Shrimp dumplings and the Onion tart as starters We ordered the Shirataki noodles and street tacos as entrees So also ordered the Kaleaid All of the dishes were yummy 
I have gone back many times since then and have never been disappointed I have gone after yoga to get some Kale salad or the chicken chopped salad I always have to get the Kale aid 
Once a guy at the next table uprooted a whole plant by mistake on the patio and was highly embarrassed as was his date Ever since I have very careful not to throw my arms around as I can be quite clumsy sometimes I do NOT want to be banned from my favorite place for my clumsiness I dont think I can live without True Food"
5,"Disclaimer Like many of you I am a sucker for charming little homes that have been repurposed into restaurants I am certain that this colored my opinion of Cibo

That being said I absolutely love having lunch here the other day I unknowingly arrived at 205 5 minutes after they close between lunch and dinner but was served anyway I had the salscicia sandwich and a side of fruit The sandwich was excellent served on perfectly crisp chewy saltimbocca bread The sausage was flavorful and was complimented by roasted red peppers and onions All this was finished off with a great quality mozzarella cheese Really really delicious

I should also say that the atmosphere here was friendly and  comfortable though a bit small This would be a great place to hang out if you lived nearby"
1,Disgusting  Had a Groupon so my daughter and I tried it out  Very outdated and gaudy 80s style interior made me feel like I was in an episode of Sopranos  The food itself was pretty bad  We ordered pretty simple dishes but they just had no flavor at all  After trying it out Im positive all the good reviews on here are employees or owners creating them
5,"Never having dealt with a Discount Tire in Phoenix before only in Texas and their service has been great all the time I came in not knowing what kind of service to expect I was pleasantly surprised The store had a good amount of parking and the store front was clean open and had adequate seating around the perimeters There were already 56 people sitting and waiting for their cars to be finished and 2 people waiting infront of me to see a representative All the guys working there were busy helping someone yet were saying hello to us and reassuring theyd get to us very soon I didnt wait an unneccesary amount of time and then was helped by Wally He inspected my tires recommended a plan of action gave me options and we headed back into the store After I made my decision to replace 2 of the tires he checked their stock and unfortunately they didnt have them there BUT he called another store and had them picked up for the next morning so I could just come back the next day to this same store and get those bad boys installed Great The prices were not as heafty relief and although there were a good amount of people the next day waiting for their cars to also be serviced it took exactly the amount of time theyd told me 45 min They apologized for the wait but no need for that The guy who helped me on the 2nd day Im sorry I forgot his name was also very professional and great I recommend this store and will be bringing my car here in the future most definitely Thanks guys

TIP If you know you need to bring your car in you can make an appointment with them online They take walkins but I believe it helps them manage their customers easier and that in turn benefits you"
1,"Ive eaten here many times but none as bad as last night
Service was excellent and highly attentive
Food absolutely horrible

My expectation was they would serve a steak on par with their seafood After all they were charging 39 bucks for a ribeye 
What I was hoping for was a 1 112 thick steak cooked Pittsburgh style as I had ordered 
What I got a a 34 in thick piece of meat that was mostly fat gristle and in no way resembled Pittsburgh Style 
Salad similar to something you could get at Chick Filet
Veggies blah
Bread basket ample but day old and if not it certainly wasnt fresh 

In addition to bad food we were crammed into a small room where we were nuts to butts with 6 other tables listening to conversations ranging from someones recent bout with pinkeye and another couple who elected to speak entirely in French until the waiter showed up then it was like they turned off the French switch and suddenly began speaking English 

Ive had it with this place
If Im going to pay 150 bucks for dinner itll be at Mortons or Maestro where the steaks are 112 in thick cooked to perfection and half of it doesnt wind up on the plate as fat and gristle"
5,Unfortunately for me lux is close to my house  I walk there nearly every day and am much poorer because of it  The coffee and pastries are amazing  They always play really great music too
5,"Fred M pretty much said what I would say so I wont beat a dead horse  Ill add though that they offer a wide variety of deepfried quesadillas  

Did you catch that

DEEP FRIED QUESADILLAS"
5,"Alright I have been away from Yelp for quite some time and I feel that this place is fitting to be my comeback review

Chicken and Waffles  Yes chicken and MFin waffles  

In the ghetto  Check
Has sweet tea  Check
Has nononsense quick service  Check
Ridiculously long wait  Check
Best thing that I have eaten in the last year  Check

I have to say not the best fried chicken I have ever had but pretty damn good it could use more seasoning  Now the waffles probably the best ever  The waffles are deliciously soft inside a little crispy out with a wonderful cinammoness to them  The seating is cramped but it doesnt matter as soon as your food is delivered your table goes quiet you get tunnel vision and after the first bite you are taken away to an orgy of goodness

If you are in Phoenix this is a requirement  Come real early or be prepared to wait  Dont forget to order the Red Velvet cake and they have KoolAid if that fits your fancy  Even after I came home from Arizona I couldnt stop talking about LoLos for like 2 weeks  Shoot two months later and I am still drooling thinking about it"
5,"This restaurant is incredible and has the best pasta carbonara and the best tiramisu Ive had in my life All the food is wonderful though The calamari is not fried The bread served with dinner comes right out of the oven and the tomatoes are the freshest Ive tasted outside of my moms own garden This is great attention to detail

I can no longer eat at any other Italian restaurant without feeling slighted This is the first place I want take outoftown visitors Im looking to impress

The owner Jon is helpful friendly and really cares about providing a positive dining experience Hes spot on with his wine recommendations and he organizes wine tasting events which you can find out about by joining the mailing list or Facebook page"
1,"I have always been a fan of Burlingtons deals however I will not be shopping at this one again I went to return a belt pretty simple Instead I stood in the customer service line for 15 minutes thanks to an employee of Burlington buyingputting things on layaway It took three other staff to help her out There were no words said to me except Hold on I was pissed When the lady was finally done the employee at the service asked what do you want Serious help is needed there
 If you work in the area of customer service I think you should have some"
1,Another night meeting friends here  I have to laugh  Waited another 20 minutes for my beer to be refilled at the bar  A girl even took my empty without even asking if I wanted a refill  A new brunette girl that I dont recognize left the bar and sat down with her guy friends on the customer side AT 925 ON A FRIDAY NIGHT  Another bartender had to ask her to come back and work  Management  Pull your head out of your ass  Sad to watch  I need to talk my friends into another place
1,"Not busy at all but took nearly 45 min to get our meal  Ordered the trout and was shocked to see lots and lots of bones Hmmmmm Well asked the waitress about it and she said they try the best they can  hmmmmmm isnt this a fish restaurant 
They comped the trout but still not sure I would go back"
5,This an incredible church that embraces the principle that Christ Life Church exists to bring people into a lifechanging relationship with Jesus Christ  Three campuses allow Christ Life to reach into several locationsonline Tempe and Casa Grande   The wonderful childrens and youth programs appeal to a wide perspective of people
