Week,Date,PRICE 12PK,PRICE_12PK.Ln,PRICE 18PK,PRICE_18PK.Ln,PRICE 30PK,PRICE_30PK.Ln,CASES 12PK,CASES_12PK.Ln,CASES 18PK,CASES_18PK.Ln,CASES_18PK.Ln.Loglog.model,CASES_18PK.Ln.Loglog.model.Resid,CASES_18PK.Ln.Loglog.real.errors,CASES 30PK,CASES_30PK.Ln
1,1/1/2003,19.98,2.99,14.10,2.65,15.19,2.72,223.5,5.4,439.0,6.1,6.088,-0.004,-1.584,55.00,4.01
2,1/8/2003,19.98,2.99,18.65,2.93,15.19,2.72,215.0,5.4,98.0,4.6,4.213,0.372,30.452,66.75,4.20
3,1/15/2003,19.98,2.99,18.65,2.93,13.87,2.63,227.5,5.4,70.0,4.2,4.213,0.036,2.452,242.00,5.49
4,1/22/2003,19.98,2.99,18.65,2.93,12.83,2.55,244.5,5.5,52.0,4.0,4.213,-0.262,-15.548,488.50,6.19
5,1/29/2003,19.98,2.99,18.65,2.93,13.16,2.58,313.5,5.7,64.0,4.2,4.213,-0.054,-3.548,308.75,5.73
6,2/5/2003,19.98,2.99,18.65,2.93,15.19,2.72,279.0,5.6,72.0,4.3,4.213,0.064,4.452,111.75,4.72
7,2/12/2003,19.98,2.99,18.65,2.93,13.92,2.63,238.0,5.5,47.0,3.9,4.213,-0.363,-20.548,252.50,5.53
8,2/19/2003,20.10,3.00,18.73,2.93,14.42,2.67,315.5,5.8,85.0,4.4,4.184,0.259,19.363,221.25,5.40
9,2/26/2003,20.12,3.00,18.75,2.93,13.83,2.63,217.0,5.4,59.0,4.1,4.177,-0.099,-6.169,245.25,5.50
10,3/5/2003,20.13,3.00,18.75,2.93,14.50,2.67,209.5,5.3,63.0,4.1,4.177,-0.034,-2.169,148.50,5.00
11,3/12/2003,20.14,3.00,18.75,2.93,13.87,2.63,227.0,5.4,57.0,4.0,4.177,-0.134,-8.169,229.75,5.44
12,3/19/2003,20.12,3.00,18.75,2.93,13.64,2.61,216.5,5.4,54.0,4.0,4.177,-0.188,-11.169,312.00,5.74
13,3/26/2003,20.12,3.00,13.87,2.63,14.31,2.66,169.0,5.1,404.0,6.0,6.198,-0.197,-87.951,96.75,4.57
